name,type,career_url
Stripe India,Tier-1 GCC,https://stripe.com/jobs/search?location=India
Shopify India,Tier-1 GCC,https://www.shopify.com/careers/search?location=India
Slack India,Tier-1 GCC,https://slack.com/careers#openings
Zoom India,Tier-1 GCC,https://careers.zoom.us/jobs/search?location=India
Dropbox India,Tier-1 GCC,https://jobs.dropbox.com/teams/engineering
Box India,Tier-1 GCC,https://careers.box.com/en/search-jobs?location=India
Databricks India,Tier-1 GCC,https://www.databricks.com/company/careers/open-positions?location=India
Snowflake India,Tier-1 GCC,https://careers.snowflake.com/us/en/search-results?location=India
Confluent India,Tier-1 GCC,https://www.confluent.io/careers/?location=India
MongoDB India,Tier-1 GCC,https://www.mongodb.com/careers/jobs?location=India
Elastic India,Tier-1 GCC,https://www.elastic.co/careers/jobs?location=India
Redis India,Tier-1 GCC,https://redis.com/company/careers/jobs/?location=India
HashiCorp India,Tier-1 GCC,https://www.hashicorp.com/jobs?location=India
GitLab India,Tier-1 GCC,https://about.gitlab.com/jobs/?location=India
Splunk India,Tier-1 GCC,https://www.splunk.com/en_us/careers/search-jobs.html?location=India
ServiceNow India,Tier-1 GCC,https://careers.servicenow.com/careers/jobs?location=India
Workday India,Tier-1 GCC,https://workday.wd5.myworkdayjobs.com/Workday?location=India
Zendesk India,Tier-1 GCC,https://jobs.zendesk.com/us/en/search-results?location=India
HubSpot India,Tier-1 GCC,https://www.hubspot.com/careers/jobs?location=India
Mailchimp India,Tier-1 GCC,https://mailchimp.com/jobs/?location=India
SurveyMonkey India,Tier-1 GCC,https://www.surveymonkey.com/mp/jobs/?location=India
Twilio India,Tier-1 GCC,https://www.twilio.com/company/jobs?location=India
Okta India,Tier-1 GCC,https://www.okta.com/company/careers/?location=India
Auth0 India,Tier-1 GCC,https://www.okta.com/company/careers/?location=India
Segment India,Tier-1 GCC,https://segment.com/careers/?location=India
Amplitude India,Tier-1 GCC,https://amplitude.com/careers?location=India
Datadog India,Tier-1 GCC,https://www.datadoghq.com/careers/?location=India
New Relic India,Tier-1 GCC,https://newrelic.careers/careers/jobs?location=India
PagerDuty India,Tier-1 GCC,https://www.pagerduty.com/careers/?location=India
Cloudflare India,Tier-1 GCC,https://www.cloudflare.com/careers/jobs/?location=India
Fastly India,Tier-1 GCC,https://www.fastly.com/about/careers?location=India
Akamai India,Tier-1 GCC,https://www.akamai.com/company/careers?location=India
F5 Networks India,Tier-1 GCC,https://f5.com/company/careers?location=India
Palo Alto Networks India,Tier-1 GCC,https://jobs.paloaltonetworks.com/en/jobs/?location=India
Fortinet India,Tier-1 GCC,https://www.fortinet.com/careers?location=India
Check Point India,Tier-1 GCC,https://www.checkpoint.com/company/careers/?location=India
CrowdStrike India,Tier-1 GCC,https://www.crowdstrike.com/careers/?location=India
Zscaler India,Tier-1 GCC,https://www.zscaler.com/careers?location=India
Proofpoint India,Tier-1 GCC,https://proofpoint.wd5.myworkdayjobs.com/ProofpointCareers?location=India
Mimecast India,Tier-1 GCC,https://www.mimecast.com/company/careers/?location=India
Spotify India,Tier-1 GCC,https://www.lifeatspotify.com/jobs?location=India
Klarna India,Tier-1 GCC,https://www.klarna.com/careers/jobs/?location=India
Revolut India,Tier-1 GCC,https://www.revolut.com/careers/?location=India
N26 India,Tier-1 GCC,https://n26.com/en/careers?location=India
Wise India,Tier-1 GCC,https://www.wise.jobs/?location=India
Delivery Hero India,Tier-1 GCC,https://careers.deliveryhero.com/global/en/search-results?location=India
Zalando India,Tier-1 GCC,https://jobs.zalando.com/en/?location=India
Booking.com India,Tier-1 GCC,https://careers.booking.com/jobs/?location=India
Trivago India,Tier-1 GCC,https://company.trivago.com/careers/?location=India
Expedia India,Tier-1 GCC,https://lifeatexpediagroup.com/jobs?location=India
